StimulusType,Mean_Sequential,Mean_Simultaneous,SD_Sequential,SD_Simultaneous,N_Sequential,N_Simultaneous,Cohens_d,t_value,p_value
Matching Member,0.75,0.71,0.22,0.24,327,328,-0.14,-1.79,0.074
Matching Morph,0.42,0.47,0.28,0.28,327,328,0.21,2.67,0.0078
Non-Matching Member,0.13,0.11,0.19,0.18,327,328,-0.1,-1.28,0.2
Non-Matching Morph,0.13,0.12,0.19,0.18,327,328,-0.09,-1.13,0.26
d' Member,1.48,1.44,0.68,0.69,327,328,-0.06,-0.75,0.45
d' Morph,0.66,0.85,0.71,0.73,327,328,0.25,3.24,0.0013
