StimulusType,Mean_Sequential,Mean_Simultaneous,SD_Sequential,SD_Simultaneous,N_Sequential,N_Simultaneous,Cohens_d,t_value,p_value
Matching Member,0.8,0.7,0.18,0.24,70,71,-0.43,-2.57,0.011
Matching Morph,0.46,0.5,0.29,0.26,70,71,0.14,0.85,0.4
Non-Matching Member,0.12,0.1,0.19,0.14,70,71,-0.14,-0.82,0.41
Non-Matching Morph,0.11,0.11,0.17,0.16,70,71,-0.01,-0.06,0.96
d' Member,1.63,1.46,0.6,0.62,70,71,-0.29,-1.7,0.091
d' Morph,0.82,0.93,0.7,0.67,70,71,0.16,0.97,0.33
